Player,PasserRating,CPOE,Bad%,OnTgt%,AY/A,Rate,QBR,ANY/A,IAY/YA,CAY/Cmp,YAC/Cmp,Drop %
Mitchell Trubisky,81.1,5.4,0.1540,0.7710,6.2,81.1,56.4,5.44,9.6,7.4,3.3,0.0400
Geno Smith,100.9,4.8,0.1290,0.7560,7.7,100.9,60.8,6.54,7.6,6.3,4.5,0.0330
Jacoby Brissett,88.9,3.3,0.1640,0.7710,7,88.9,60,6.15,8.5,6.4,4.6,0.0710
Joe Burrow,100.8,2.8,0.1520,0.7650,7.6,100.8,58.7,6.76,6.8,5.6,5.2,0.0580
Kirk Cousins,92.5,2.5,0.1290,0.7910,7,92.5,49.9,6.05,7.5,6.1,4.7,0.0410
Jalen Hurts,101.5,2.5,0.1680,0.7620,8.4,101.5,66.4,7.31,8.1,6.3,5.8,0.0500
Sam Darnold,92.6,2.4,0.1660,0.7370,8.2,92.6,48.5,7.13,7.9,6.7,7.2,0.0590
Ryan Tannehill,94.6,2,0.1180,0.7880,7.8,94.6,49.1,6.39,7.7,6.4,5.5,0.0630
Daniel Jones,92.5,1.9,0.1500,0.7610,6.9,92.5,60.8,5.89,6.4,5.1,5,0.0650
Justin Herbert,93.2,1.9,0.1420,0.7780,6.9,93.2,58.2,6.22,6.4,4.7,5.2,0.0580
Matt Ryan,83.9,1.7,0.1480,0.8060,6,83.9,42.9,4.94,6,5.3,4.6,0.0430
Taylor Heinicke,89.6,1.6,0.1580,0.7670,7.1,89.6,44.4,6.07,8.1,6.7,4.9,0.0250
Dak Prescott,91.1,1.6,0.1560,0.7330,6.7,91.1,57.9,6.08,8.2,6.3,4.6,0.0620
Andy Dalton,95.2,1.1,0.2000,0.7180,7.5,95.2,50.7,6.54,7.9,6.1,5.3,0.0690
Matthew Stafford,87.4,-0.4,0.1220,0.8100,6.4,87.4,50.3,5.18,6.7,4.7,5.5,0.0370
Kenny Pickett,76.7,-0.6,0.2320,0.7060,5.5,76.7,51.5,4.7,7.5,5.4,4.4,0.0430
Patrick Mahomes,105.2,-0.7,0.1350,0.7670,8.5,105.2,77.6,7.93,7.2,5.5,6.6,0.0540
Trevor Lawrence,95.2,-0.7,0.1340,0.7500,7.3,95.2,54.5,6.66,7.4,5.5,5.2,0.0710
Derek Carr,86.3,-0.8,0.1240,0.7800,6.7,86.3,55.5,6.01,9.1,6.6,5,0.0530
Kyler Murray,87.2,-1.1,0.1730,0.7630,6,87.2,51.5,5.16,6.9,4.3,4.8,0.0590
Tom Brady,90.7,-1.2,0.1370,0.7570,6.5,90.7,52.5,6.13,6.7,4.9,4.7,0.0450
Tua Tagovailoa,105.5,-1.2,0.1200,0.7410,9.2,105.5,68.8,8.37,9.5,8.8,4.9,0.0670
Josh Allen,96.6,-1.3,0.1270,0.7450,7.7,96.6,71.4,6.99,9.2,7.5,4.4,0.0680
Aaron Rodgers,91.1,-1.6,0.1820,0.7210,6.8,91.1,39.3,5.95,8,5.2,5.4,0.0780
Mac Jones,84.8,-1.7,0.1190,0.7790,6.3,84.8,36.2,5.36,7.9,5.4,5,0.0660
Marcus Mariota,88.2,-1.8,0.1930,0.7110,7,88.2,55.6,5.85,10.4,7.2,4.9,0.0280
Jared Goff,99.3,-2.1,0.1810,0.7540,8,99.3,61.1,7.45,7,5.6,6,0.0610
Brock Purdy,107.3,-2.1,0.2250,0.7060,8.6,107.3,65.6,7.57,6.6,5.9,6.2,0.0790
Lamar Jackson,91.1,-2.5,0.1880,0.7080,7,91.1,59.1,6.12,8.3,6.3,4.8,0.0840
Jimmy Garoppolo,103,-2.6,0.1820,0.7570,8.4,103,54.3,7.6,6.9,4.8,7,0.0690
Davis Mills,78.8,-2.7,0.1810,0.7280,5.8,78.8,33.1,4.98,7.7,5.4,5.2,0.0390
Carson Wentz,80.2,-3.2,0.2000,0.7110,5.7,80.2,32.9,4.67,7.8,5.4,4.8,0.0590
Mike White,75.7,-3.2,0.2520,0.6710,6.1,75.7,37,5.41,7.4,6.1,5.5,0.0180
Deshaun Watson,79.1,-3.3,0.1210,0.7700,6,79.1,38.3,4.79,7.1,5.6,5.5,0.0770
Russell Wilson,84.4,-4.3,0.1410,0.7340,6.9,84.4,36.7,5.54,8.8,6.2,5.9,0.0670
Joe Flacco,75.2,-4.5,0.2250,0.6690,5.3,75.2,34.1,4.73,7.8,5.3,4.2,0.0700
Cooper Rush,80,-5.1,0.1360,0.7710,6.3,80,58.7,5.72,7.8,6.3,4.8,0.0570
Justin Fields,85.2,-5.5,0.1410,0.7440,6.6,85.2,54,4.63,9.1,6.7,5,0.0520
Zach Wilson,72.8,-6.1,0.2050,0.6860,6.2,72.8,36.5,4.97,9,6.7,6.1,0.0500
Baker Mayfield,79,-7,0.2080,0.6670,6,79,24.5,4.81,6.8,5.1,5.6,0.0530
