Player,Age,YDS,TD,INT,Cmp,Att,Cmp%,1D,Y/A,Y/C,Y/G,GWD
Mitchell Trubisky,28.0,"1,252",4.0,5.0,117.0,180.0,65.0,65.0,7.0,10.7,178.9,1.0
Geno Smith,32.0,"4,282",30.0,11.0,399.0,572.0,69.8,206.0,7.5,10.7,251.9,3.0
Jacoby Brissett,30.0,"2,608",12.0,6.0,236.0,369.0,64.0,129.0,7.1,11.1,163.0,2.0
Joe Burrow,26.0,"4,475",35.0,12.0,414.0,606.0,68.3,222.0,7.4,10.8,279.7,4.0
Kirk Cousins,34.0,"4,547",29.0,14.0,424.0,643.0,65.9,230.0,7.1,10.7,267.5,8.0
Jalen Hurts,24.0,"3,701",22.0,6.0,306.0,460.0,66.5,165.0,8.0,12.1,246.7,2.0
Sam Darnold,25.0,"1,143",7.0,3.0,82.0,140.0,58.6,57.0,8.2,13.9,190.5,1.0
Ryan Tannehill,34.0,"2,536",13.0,6.0,212.0,325.0,65.2,116.0,7.8,12.0,211.3,0.0
Daniel Jones,25.0,"3,205",15.0,5.0,317.0,472.0,67.2,156.0,6.8,10.1,200.3,5.0
Justin Herbert,24.0,"4,739",25.0,10.0,477.0,699.0,68.2,228.0,6.8,9.9,278.8,5.0
Matt Ryan,37.0,"3,057",14.0,13.0,309.0,461.0,67.0,156.0,6.6,9.9,254.8,4.0
Taylor Heinicke,29.0,"1,859",12.0,6.0,161.0,259.0,62.2,93.0,7.2,11.5,206.6,1.0
Dak Prescott,29.0,"2,860",23.0,15.0,261.0,394.0,66.2,142.0,7.3,11.0,238.3,2.0
Andy Dalton,35.0,"2,871",18.0,9.0,252.0,378.0,66.7,135.0,7.6,11.4,205.1,1.0
Matthew Stafford,34.0,"2,087",10.0,8.0,206.0,303.0,68.0,105.0,6.9,10.1,231.9,0.0
Kenny Pickett,24.0,"2,404",7.0,9.0,245.0,389.0,63.0,123.0,6.2,9.8,184.9,4.0
Patrick Mahomes,27.0,"5,250",41.0,12.0,435.0,648.0,67.1,272.0,8.1,12.1,308.8,4.0
Trevor Lawrence,23.0,"4,113",25.0,8.0,387.0,584.0,66.3,206.0,7.0,10.6,241.9,2.0
Derek Carr,31.0,"3,522",24.0,14.0,305.0,502.0,60.8,161.0,7.0,11.5,234.8,3.0
Kyler Murray,25.0,"2,368",14.0,7.0,259.0,390.0,66.4,119.0,6.1,9.1,215.3,1.0
Tom Brady,45.0,"4,694",25.0,9.0,490.0,733.0,66.8,237.0,6.4,9.6,276.1,5.0
Tua Tagovailoa,24.0,"3,548",25.0,8.0,259.0,400.0,64.8,162.0,8.9,13.7,272.9,2.0
Josh Allen,26.0,"4,283",35.0,14.0,359.0,567.0,63.3,214.0,7.6,11.9,267.7,4.0
Aaron Rodgers,39.0,"3,695",26.0,12.0,350.0,542.0,64.6,177.0,6.8,10.6,217.4,4.0
Mac Jones,24.0,"2,997",14.0,11.0,288.0,442.0,65.2,127.0,6.8,10.4,214.1,0.0
Marcus Mariota,29.0,"2,219",15.0,9.0,184.0,300.0,61.3,111.0,7.4,12.1,170.7,3.0
Jared Goff,28.0,"4,438",29.0,7.0,382.0,587.0,65.1,227.0,7.6,11.6,261.1,3.0
Brock Purdy,23.0,"1,374",13.0,4.0,114.0,170.0,67.1,66.0,8.1,12.1,152.7,1.0
Lamar Jackson,25.0,"2,242",17.0,7.0,203.0,326.0,62.3,105.0,6.9,11.0,186.8,2.0
Jimmy Garoppolo,31.0,"2,437",16.0,4.0,207.0,308.0,67.2,114.0,7.9,11.8,221.5,1.0
Davis Mills,24.0,"3,118",17.0,15.0,292.0,479.0,61.0,135.0,6.5,10.7,207.9,3.0
Carson Wentz,30.0,"1,755",11.0,9.0,172.0,276.0,62.3,85.0,6.4,10.2,219.4,2.0
Mike White,27.0,"1,192",3.0,4.0,103.0,175.0,58.9,56.0,6.8,11.6,298.0,0.0
Deshaun Watson,27.0,"1,102",7.0,5.0,99.0,170.0,58.2,53.0,6.5,11.1,183.7,0.0
Russell Wilson,34.0,"3,524",16.0,11.0,292.0,483.0,60.5,142.0,7.3,12.1,234.9,3.0
Joe Flacco,37.0,"1,051",5.0,3.0,110.0,191.0,57.6,55.0,5.5,9.6,210.2,1.0
Cooper Rush,29.0,"1,051",5.0,3.0,94.0,162.0,58.0,52.0,6.5,11.2,116.8,2.0
Justin Fields,23.0,"2,242",17.0,11.0,192.0,318.0,60.4,91.0,7.1,11.7,149.5,2.0
Zach Wilson,23.0,"1,688",6.0,7.0,132.0,242.0,54.5,73.0,7.0,12.8,187.6,2.0
Baker Mayfield,27.0,"2,163",10.0,8.0,201.0,335.0,60.0,94.0,6.5,10.8,180.3,1.0
